5,13,16,27,15
14,23,25,26,17
5,12,17,22,25
11,13,31,34,24
10,12,17,20,8
4,8,22,31,17
7,10,14,18,25
13,16,18,34,3
4,7,14,16,10
6,9,26,34,16
17,19,23,24,13
5,13,29,32,10
6,10,22,24,19
4,10,12,13,32
8,10,18,31,34
9,16,19,31,30
5,8,11,24,8
6,16,27,32,15
6,8,12,35,7
1,6,14,31,25
4,6,18,27,27
9,11,13,23,34
12,16,18,21,6
11,14,17,29,23
12,24,27,31,33
10,13,29,35,32
10,19,24,32,18
7,14,17,20,30
5,7,10,28,9
11,23,30,31,25
14,18,24,30,18
4,6,10,33,24
2,13,28,33,32
6,10,13,29,33
11,23,26,35,8
2,10,17,23,35
8,9,10,34,17
1,3,21,29,10
8,28,29,31,8
6,30,32,35,22
4,5,10,16,17
4,10,24,29,2
6,12,15,33,6
1,7,16,18,35
2,22,24,27,24
1,4,7,33,9
9,16,18,22,4
1,3,11,32,9
2,9,22,30,7
6,10,18,25,4
14,21,23,27,24
6,15,27,28,25
17,23,24,27,4
6,14,17,24,10
1,3,7,30,25
1,12,13,25,27
19,24,32,34,3
2,10,12,17,28
8,21,28,30,24
2,4,21,31,34
4,8,30,35,28
2,8,12,34,31
4,10,16,29,24
10,19,28,35,16
7,20,21,33,22
2,12,14,32,29
11,18,32,35,33
8,23,24,25,18
10,18,29,33,17
2,9,23,32,12
6,17,19,29,34
8,23,26,30,7
3,17,31,32,8
10,18,21,25,3
7,8,9,15,6
9,18,22,24,19
26,28,32,34,27
5,21,23,31,5
1,12,19,34,16
1,16,33,35,12
6,14,23,32,6
1,16,25,28,4
6,10,15,33,32
3,27,31,32,12
13,29,31,32,25
5,8,10,33,31
7,16,20,35,9
2,14,18,27,23
6,8,28,31,32
9,10,14,18,21
2,22,26,31,27
6,7,11,31,3
10,20,24,31,18
2,9,20,25,9
16,20,34,35,24
1,2,15,25,3
4,8,19,25,24
10,14,29,31,25
12,16,28,35,16
12,15,18,29,6
1,8,20,26,19
4,10,25,27,33
